device_id, network, event_time
IN68QL999Q,MTV,2013-08-22 05:17:50
OL26HK050O,NBC,2013-08-22 01:22:50
LI12KG731F,ID,2013-08-21 11:38:46
JD82IO819A,ID,2013-08-22 14:36:50
LE13PF497K,HBOW,2013-08-21 14:47:52
MV18QF313P,FOX,2013-08-22 09:58:34
TJ65CX118O,HBO,2013-08-21 14:02:14
OQ98AP763C,NBC,2013-08-21 15:26:10
RE78PV566H,CW,2013-08-23 04:31:00
HQ79VQ736Z,ID,2013-08-23 18:28:07
IN68QL999Q,NBC,2013-08-23 04:49:55
FF49XB489F,E!,2013-08-23 23:14:18
JT89GZ932F,ID,2013-08-23 11:28:39
BP35PH479O,BRAVO,2013-08-23 21:13:56
IB49LB739J,EPIX,2013-08-22 07:04:04
PT75OL582S,BRAVO,2013-08-22 19:52:45
XL43IP349Y,NATGEO,2013-08-23 14:07:07
SV77TY755G,HBO,2013-08-22 00:14:39
QJ95BT650A,FX,2013-08-21 05:25:18
CE49AB174W,VH1,2013-08-21 23:07:17
SS94UE211G,HBO,2013-08-22 22:10:16
LQ17YV650I,BIO,2013-08-23 06:44:39
WP12SJ925U,MTV2,2013-08-22 21:27:34
XC96QH527U,CW,2013-08-21 08:15:05
CE49AB174W,FX,2013-08-22 11:32:15
QH19LK429H,TBS,2013-08-22 18:20:38
XV59JB488V,EPIX,2013-08-21 01:03:07
UK95VA338W,ABC,2013-08-23 15:49:25
KQ75EH640E,EPIX,2013-08-22 07:27:51
MA10HN064W,HBO,2013-08-23 11:12:39
IU33EQ237K,DISCOVERY,2013-08-23 21:35:45
QX12AK828P,DISCOVERY,2013-08-21 02:28:49
LY55UW624Q,HBO,2013-08-23 22:09:59
WB36HV655W,BRAVO,2013-08-22 20:13:16
EN90GM439E,TBS,2013-08-22 05:29:45
BB70GV147R,BRAVO,2013-08-21 09:29:00
FF49XB489F,E!,2013-08-23 00:53:23
LE13PF497K,ABC,2013-08-22 13:47:23
SC53DW780O,HISTORY,2013-08-21 08:05:33
MA10HN064W,HBO2,2013-08-23 21:47:08
KQ75EH640E,TBS,2013-08-22 09:41:09
QJ95BT650A,BIO,2013-08-22 14:33:10
DN82QB139I,VH1,2013-08-23 11:50:29
GU59YU714B,MTV,2013-08-21 19:43:40
QI44LN564O,HBO2,2013-08-22 01:35:19
IP39JT937D,HBOW,2013-08-21 01:37:42
LI12KG731F,HBOW,2013-08-22 05:35:03
XC96QH527U,ABC,2013-08-21 13:16:20
GE95BW891Q,EPIX,2013-08-22 03:10:08
CW47QZ635H,MTV2,2013-08-22 14:22:32
RE78PV566H,SHO,2013-08-22 17:47:42
GE95BW891Q,MTV,2013-08-22 09:24:04
IY12CO821X,BIO,2013-08-21 11:36:56
GP49GT942C,VH1,2013-08-21 07:36:13
VV27BK554M,NATGEO,2013-08-22 04:00:55
UT30TK841J,HISTORY,2013-08-23 04:55:05
VY20IU522F,MTV2,2013-08-23 04:34:07
XW28NO130P,BRAVO,2013-08-21 03:29:21
LW46HH313D,DISCOVERY,2013-08-21 13:52:20
FG62RN976F,SCIENCE,2013-08-22 05:14:04
EO66MP536A,ID,2013-08-21 00:56:32
VL98QB737B,TBS,2013-08-21 18:18:30
TJ65CX118O,E!,2013-08-21 19:30:56
QJ95BT650A,HBO,2013-08-21 16:43:51
GU59YU714B,HBO,2013-08-23 03:43:46
QH19LK429H,AMC,2013-08-22 19:44:16
IW35FE265X,NATGEO,2013-08-23 15:34:41
LE13PF497K,CC,2013-08-21 08:20:15
VV71IG071M,BIO,2013-08-21 09:14:50
LQ17YV650I,MTV2,2013-08-21 03:08:57
RQ99MJ132Q,ID,2013-08-21 10:09:48
IB49LB739J,E!,2013-08-23 02:50:42
CE49AB174W,CW,2013-08-21 23:12:46
NH27CD775Q,NBC,2013-08-21 19:36:45
BD46AI294A,CW,2013-08-22 21:22:07
MA58OI386W,BIO,2013-08-21 02:41:02
NY39MF216L,NBC,2013-08-23 12:56:29
VL98QB737B,HBOW,2013-08-23 17:05:29
OL26HK050O,CC,2013-08-23 23:38:07
IY12CO821X,BRAVO,2013-08-23 23:51:19
DI69LH573S,E!,2013-08-21 19:25:10
MY84LR392A,ABC,2013-08-23 05:49:50
YV93QS191N,CC,2013-08-21 00:40:33
RQ95KT885T,TBS,2013-08-21 14:00:41
BA20VY674I,HISTORY,2013-08-21 09:03:26
JD82IO819A,ID,2013-08-22 20:24:52
FS95NN529B,SHO,2013-08-22 04:25:06
XW28NO130P,SHO,2013-08-23 06:21:05
MU63ZY723V,CC,2013-08-22 06:45:34
RL78CX933A,HBOW,2013-08-23 13:28:24
BA20VY674I,CC,2013-08-22 11:36:21
RE78PV566H,TBS,2013-08-22 07:08:42
LE13PF497K,FX,2013-08-21 06:17:38
QJ95BT650A,HBO,2013-08-23 08:57:44
PT75OL582S,E!,2013-08-21 01:55:52
GU59YU714B,EPIX,2013-08-22 04:12:21
NA30KW737V,HBO2,2013-08-22 22:21:41
KA66SL055O,VH1,2013-08-23 08:04:58
LM24VN835H,CW,2013-08-23 05:18:07
LM24VN835H,CC,2013-08-21 17:04:24
